gold_id,customer_text,pred_reply
G074,@115948 @AppleSupport This is not music to my ears! Solution please? #veryconfused https://t.co/ALgVrcVNU8,@213725 We'll be happy to help with your Apple Music. Can you DM us the device and version of OS we are working with? https://t.co/GDrqU22YpT
G025,Why Does my iPhone randomly Capitalize words When I type? Like this one. Just random Words are capitalized for No reason! @AppleSupport #wtf,"@641953 Let's dig into what's going on together. Have you had a chance to apply the newest iOS update, 11.1.1? If not, we can do that now. We'll want to make sure to create a backup first. How to back up: https://t.co/4f8hwT5to6"
G052,@115858 wassup with this question mark box shit? I updated. 🗣🗣🗣 What more do you want from me?????,@513211  Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz
G182,@AppleSupport Y wifi is switching on by itself after update to 11.3 ???,@297650 Thanks for reaching out. Let's take a look at options for updating your iOS together in DM. https://t.co/GDrqU22YpT
G102,"@115858 why won’t my iphone keep playing podcasts for more than a few minutes while connected to a Bluetooth speaker since the latest update?
On a similar note, why won’t it stay connected for very long either?","@517906 We're here to help and get you connected. In this scenario, check out: https://t.co/sXbhzfS2lM and keep us posted."
G041,@AppleSupport fix these stupid fucking question mark boxes,@496674 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help.
G129,@AppleSupport can you tell me where Facebook &amp; Twitter has gone in my settings 🤷🏻‍♀️ need to put password in for Facebook https://t.co/RSHqEexEgO,@435345 Hi there! This article has some great information about identifying suspicious messages: https://t.co/XH4V2TxAD7
G089,@AppleSupport check dm’s please,@740618 We did receive your DM and you can expect for us to follow up with you there shortly. We look forward to working together. https://t.co/GDrqU22YpT
G149,@115858 @AppleSupport your iOS 11.0.2. Update won’t allow iPhone users to login to App Store #iOS11 #ios11update #iosproblems https://t.co/CxKTeCEgAf,@319812 We definitely want to look into this. Send us a DM to get started: https://t.co/GDrqU22YpT
G138,@AppleSupport why isn’t my Apple Music working? It won’t add songs to my music or download them or delete the ones i delete from my library,"@260690 We want you to be able to use your Apple Music, and we'd like to help with the issue you're experiencing. Could you share a few details with us about what's going on? Also, which software version are you using on your device?"
G140,@AppleSupport I keep receiving emails with a receipt for purchases. I do not have an apple account. Being sent to my email kenl5502@hotmail,@593898 Thanks for bringing this to our attention. This article goes over the steps you can take for this: https://t.co/LNMCdqt6fD
G173,"@AppleSupport not that happy with the new mobile IOS, since installing I’m lucky if battery last 1/2 day, WiFi is ridiculously slow.",@626549 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
G156,"@AppleSupport very disappointed that I was “hung up” on on chat. Niara doesn’t seem to understand how to use the system on her end. Case number 100366449924

Hooray for 10 *more* minutes of holding!",@809044 Thank you for reaching out. We cannot handle this issue over Twitter. We suggest reaching out to our Developer support here: https://t.co/GFGZW9wlcl
G163,@AppleSupport is there a way (other than swapping sims) to see if a used iPhone is both unlocked and safe to purchase?,"@732668 Thanks for reaching out to us for support. iOS 11.1.2 was recently released and it includes a fix for autocorrect issues. Be sure to back up your device prior to updating, and let us know if the issue persists afterwards. How to back up: https://t.co/4f8hwT5to6"
G121,"I suffer from the fact that my phone is just dying before my eyes. It works only from the wall outlet, the screen is broken and floated, the front camera does not work. My eyes hurt, I'm tired @115858 help me please 😭😭😭","@223024 Thanks for contacting us. We have several ways to change the display brightness on your device and we're happy to help. To start, let us know what model device and version of software you're using."
G208,Is the Apple repair status page https://t.co/Z8VybluSm9 broken? I've been seeing this 403 error since midday yesterday. @115858 @AppleSupport https://t.co/vzggCDbUjg,@489331 We'd like to take a closer look into this with you. Please let us know in DM what's been misspelled and we'll go from there. https://t.co/GDrqU22YpT
G206,@115858 I have a few questions about product warranty.,@149717 We'd like to look into this with you. Could you please send us a DM so we can gather some information and take a look? https://t.co/GDrqU22YpT
G103,"@AppleSupport y’all need to figure ios11 out, I haven’t been able to use FaceTime in weeks, and when putting my phone on speaker the conversation is Kieran and I saying “what” back and forth till we get tired of that and switch to Skype or Duo, fix your shit @115858",@440148 We're here for you. DM us which iPhone you have and we'll go from there. https://t.co/GDrqU22YpT
G054,i ain't texting back till @AppleSupport gets rid of this damn hieroglyphics glitch,@206748 We've got steps to solve that for you. Check those out here: https://t.co/xU1AGHStV6 and DM us with questions. https://t.co/GDrqU22YpT
G202,@AppleSupport how can you charge over £20 for chargers that won’t last even a month. Put a warranty on them or change to universal chargers like androids. This is ridiculous,@341954 We'd like to help. Tell us more about what's going on with your charger.
G010,So why can’t I️ use the letter I️? Changed to an A and a symbol.   This is beyond annoying @115858 @AppleSupport,@631304 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
G047,Night shift randomly activates since #iOS11 update. @AppleSupport please look into this. I have iPhone 7 Plus and 2017 iPad Pro 12.9.,@748085 Let's team up and sort this out together. Please meet us in DM and we'll be hapy to continue working with you there. https://t.co/GDrqU22YpT
G205,"@AppleSupport My MBP keyboard has bad keys again 5 days after repair. I've loved every Mac I've ever had but I'm done with this one. I want a promise that you're working on a hardware fix to this known issue, or my money back.","@779803 We can help out. Is it all notifications that are having this issue, or just specific apps?"
G050,@115858 When are you going to fix this stupid glitch when the letter I️ is said?!😫,@504019 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
G051,Getting a glitch on iOS 11.1 where my home button is functioning as media keys for playback on music. This is annoying. (cc:@115858),@624350 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
G069,"@AppleSupport I ordered OSX Lion on the 21th, when will I get the Emails that'll allow me to download it? Or am I getting it on DVD?",@700034 Thank you for reaching out. We'd like to get your to our Sales Support specialists here: https://t.co/8yjRd1Xo0i
G115,Hey @AppleSupport look at my screen... it’s actually two minutes white screen captured only a minute of it. Notice the time. https://t.co/AtAXwF3hid,@290077 We' know how important it is to have your phone working properly. Please join us in DM here: https://t.co/GDrqU22YpT
G183,@12172 seems your PowerBeats3 aren’t much good. My pair has given up after a handful of uses! Seems it’s a common fault as well.,@578730 We're very happy to look into this with you. Please join us in DM and let us know your country to get started. https://t.co/GDrqU22YpT
G045,Super annoyed that iOS 11 has ground my devices to a halt. Thanks @115858. Seems I’ll be making the switch soon.,"@482457 We're here to help. If you haven't yet, try installing the update through iTunes. Follow these steps: https://t.co/80YRnjDFDk"
G068,@AppleSupport wanna explain why the one on the left works and the one on the right doesn’t? https://t.co/zBqFU1zYRl,"@382171 We are here to help. For questions with your account, reach out to our billing department here: https://t.co/SDIe7UiyJN"
